Source     RACODE         MJDate    J2000RA    J2000Dec    ObsFreq  Pol      FLUX    FLUXERR
0834-201   RK01QP    56673.08336  129.16340   -20.28320    1.66800  LCP      2.03       0.01
0834-201   RK01QP    56673.08336  129.16340   -20.28320    1.66800  RCP      2.31       0.01
1824+5651  RE03AX    56120.90149  276.02945    56.85041    1.66000  LCP      1.16       0.03
1824+5651  RE03AX    56120.90149  276.02945    56.85041    1.66000  RCP      1.40       0.04
0003-066   RK01KO    56626.82905    1.55788    -6.39315    1.66800  LCP      1.70       0.02
0003-066   RK01KO    56626.82905    1.55788    -6.39315    1.66800  RCP      1.91       0.03
2209+236   RG28AQ    58091.84554  333.02488    23.92793    1.66800  LCP      0.62       0.01
2209+236   RG28AQ    58091.84554  333.02488    23.92793    1.66800  RCP      0.77       0.02
0529+483   RK01CX    56559.27095   83.31610    48.38134    1.66800  LCP      0.74       0.02
0529+483   RK01CX    56559.27095   83.31610    48.38134    1.66800  RCP      0.93       0.04
1226+023   RK16JO    57778.32389  187.27792     2.05239    1.66800  LCP     44.44       0.34
1226+023   RK16JO    57778.32389  187.27792     2.05239    1.66800  RCP     52.33       0.48
2328+107   RK08IN    56995.90727  352.67021    11.00520    1.66800  LCP      1.03       0.03
2328+107   RK08IN    56995.90727  352.67021    11.00520    1.66800  RCP      1.42       0.04
1226+023   RK16JL    57777.33399  187.27792     2.05239    1.66800  LCP     42.54       0.04
1226+023   RK16JL    57777.33399  187.27792     2.05239    1.66800  RCP     52.01       0.09
0945+408   RK08IX    56998.37172  147.23058    40.66239    1.66800  LCP      1.46       0.03
0945+408   RK08IX    56998.37172  147.23058    40.66239    1.66800  RCP      1.69       0.03
1123+264   RK08WX    57145.99385  171.47379    26.17222    1.66800  LCP      0.82       0.01
1123+264   RK08WX    57145.99385  171.47379    26.17222    1.66800  RCP      0.94       0.02
0923+392   RK01KE    56623.29010  141.76255    39.03913    1.66800  LCP      3.39       0.01
0923+392   RK01KE    56623.29010  141.76255    39.03913    1.66800  RCP      3.89       0.02
1642+690   RK18MI    58158.95449  250.53271    68.94438    1.66800  LCP      1.65       0.03
1642+690   RK18MI    58158.95449  250.53271    68.94438    1.66800  RCP      1.90       0.06
1005+066   RK18SK    58251.95223  152.00342     6.35589    1.66800  LCP      0.20       0.03
1005+066   RK18SK    58251.95223  152.00342     6.35589    1.66800  RCP      0.31       0.03
1226+023   RE03JC    56300.40514  187.27791     2.05239    1.66800  LCP     45.94       0.04
1226+023   RE03JC    56300.40514  187.27791     2.05239    1.66800  RCP     55.79       0.07
0716+714   RK18PK    58195.53484  110.47271    71.34343    1.66800  LCP      0.91       0.03
0716+714   RK18PK    58195.53484  110.47271    71.34343    1.66800  RCP      0.83       0.20
1334-127   RK12NR    57417.28270  204.41575   -12.95686    1.66800  LCP      2.91       0.02
1334-127   RK12NR    57417.28270  204.41575   -12.95686    1.66800  RCP      3.35       0.01
2209+236   RG28AK    58089.92392  333.02488    23.92793    1.66800  LCP      0.55       0.04
2209+236   RG28AK    58089.92392  333.02488    23.92793    1.66800  RCP      0.82       0.06
1226+023   RE03KC    56317.35395  187.27791     2.05239    1.66800  LCP     46.60       0.04
1226+023   RE03KC    56317.35395  187.27791     2.05239    1.66800  RCP     56.30       0.07
0602+405   RK08BV    56930.40704   91.46190    40.50225    1.66800  LCP      0.86       0.01
0602+405   RK08BV    56930.40704   91.46190    40.50225    1.66800  RCP      0.92       0.01
0749+540   RK08PF    57056.98844  118.25575    53.88323    1.66800  LCP      0.42       0.01
0749+540   RK08PF    57056.98844  118.25575    53.88323    1.66800  RCP      0.45       0.02
0736+017   RK23AU    58432.53350  114.82512     1.61795    1.66800  LCP      0.80       0.03
0736+017   RK23AU    58432.53350  114.82512     1.61795    1.66800  RCP      0.96       0.04
0836+710   RK01HB    56590.92022  130.35152    70.89505    1.66800  LCP      2.62       0.03
0836+710   RK01HB    56590.92022  130.35152    70.89505    1.66800  RCP      2.80       0.03
0346-279   RK12CY    57305.19771   57.15892   -27.82044    1.66800  LCP      0.52       0.01
0346-279   RK12CY    57305.19771   57.15892   -27.82044    1.66800  RCP      0.60       0.01
1005+066   RK16IY    57769.24565  152.00342     6.35589    1.66800  LCP      0.24       0.01
1005+066   RK16IY    57769.24565  152.00342     6.35589    1.66800  RCP      0.32       0.04
0607-157   RK23BK    58441.41394   92.42063   -15.71130    1.66800  LCP      1.80       0.01
0607-157   RK23BK    58441.41394   92.42063   -15.71130    1.66800  RCP      2.09       0.03
0827+243   RK01ZI    56763.99423  127.71704    24.18328    1.66800  LCP      0.74       0.01
0827+243   RK01ZI    56763.99423  127.71704    24.18328    1.66800  RCP      0.77       0.02
0836+710   RK01HM    56593.36986  130.35152    70.89505    1.66800  LCP      2.47       0.01
0836+710   RK01HM    56593.36986  130.35152    70.89505    1.66800  RCP      3.07       0.01
1604+315   RK16OM    57847.57049  241.53550    31.41291    1.66800  LCP      0.74       0.01
1604+315   RK16OM    57847.57049  241.53550    31.41291    1.66800  RCP      0.80       0.02
0738+313   RK01IM    56604.33105  115.29460    31.20006    1.66800  LCP      2.02       0.34
0738+313   RK01IM    56604.33105  115.29460    31.20006    1.66800  RCP      2.23       0.20
0607-157   RK23BN    58442.40640   92.42063   -15.71130    1.66800  LCP      1.76       0.01
0607-157   RK23BN    58442.40640   92.42063   -15.71130    1.66800  RCP      1.96       0.01
0529+075   RK12CF    57289.36270   83.16250     7.54537    1.66800  LCP      1.57       0.02
0529+075   RK12CF    57289.36270   83.16250     7.54537    1.66800  RCP      1.87       0.03
0604+728   RK01VA    56719.99378   92.70364    72.81477    1.66800  LCP      0.76       0.00
0604+728   RK01VA    56719.99378   92.70364    72.81477    1.66800  RCP      0.87       0.01
0814+425   RK16OJ    57846.70205  124.56667    42.37928    1.66800  LCP      0.89       0.01
0814+425   RK16OJ    57846.70205  124.56667    42.37928    1.66800  RCP      1.08       0.02
1803+784   RK18BW    58035.90995  270.19033    78.46778    1.66800  LCP      1.68       0.01
1803+784   RK18BW    58035.90995  270.19033    78.46778    1.66800  RCP      1.86       0.01
0804+499   RK01IK    56603.32404  122.16527    49.84348    1.66800  LCP      0.23       0.02
0804+499   RK01IK    56603.32404  122.16527    49.84348    1.66800  RCP      0.35       0.01
0507+179   RK12CQ    57299.36682   77.50987    18.01155    1.66800  LCP      0.39       0.01
0507+179   RK12CQ    57299.36682   77.50987    18.01155    1.66800  RCP      0.45       0.01
0814+425   RK01HS    56594.44182  124.56666    42.37928    1.66800  LCP      0.87       0.01
0814+425   RK01HS    56594.44182  124.56666    42.37928    1.66800  RCP      0.97       0.01
0307+380   RK08OU    57049.90562   47.70783    38.24829    1.66800  LCP      0.31       0.01
0307+380   RK08OU    57049.90562   47.70783    38.24829    1.66800  RCP      0.33       0.05
0529+483   RK18CO    58047.49100   83.31612    48.38134    1.66800  LCP      0.81       0.02
0529+483   RK18CO    58047.49100   83.31612    48.38134    1.66800  RCP      0.92       0.02
1005+066   RK16EH    57719.41215  152.00342     6.35589    1.66800  LCP      0.21       0.01
1005+066   RK16EH    57719.41215  152.00342     6.35589    1.66800  RCP      0.32       0.01
0917+624   RK08TZ    57110.44921  140.40096    62.26449    1.66800  LCP      1.09       0.18
0917+624   RK08TZ    57110.44921  140.40096    62.26449    1.66800  RCP      1.04       0.17
1239+376   RK08KG    57008.45204  190.54087    37.33491    1.66800  LCP      0.92       0.04
