Source     RACODE         MJDate    J2000RA    J2000Dec    ObsFreq  Pol      FLUX    FLUXERR
1308+326   RK08XY    57180.16275  197.61942    32.34549   22.23600  RCP      1.32       0.01
1502+106   RK12RY    57467.28444  226.10408    10.49422   22.23600  LCP      3.01       0.02
1502+106   RK12RY    57467.28444  226.10408    10.49422   22.23600  RCP      3.16       0.01
0736+017   RK01TS    56704.07105  114.82514     1.61795   22.23600  LCP      1.69       0.01
0736+017   RK01TS    56704.07105  114.82514     1.61795   22.23600  RCP      1.74       0.01
0805-077   RK01WQ    56739.86458  122.06475    -7.85275   22.23600  LCP      1.29       0.02
0805-077   RK01WQ    56739.86458  122.06475    -7.85275   22.23600  RCP      1.23       0.03
1334-127   RE03NW    56361.42254  204.41576   -12.95686   22.23600  LCP      4.34       0.15
1334-127   RE03NW    56361.42254  204.41576   -12.95686   22.23600  RCP      4.51       0.15
2201+315   RE03HB    56267.17112  330.81240    31.76063   22.22800  LCP      2.94       0.01
2201+315   RE03HB    56267.17112  330.81240    31.76063   22.22800  RCP      3.03       0.01
1055+018   RK12VV    57520.83359  164.62338     1.56634   22.23600  LCP      2.54       0.04
1055+018   RK12VV    57520.83359  164.62338     1.56634   22.23600  RCP      2.66       0.04
1219+285   RK12JS    57378.49469  185.38204    28.23292   22.23600  LCP      0.46       0.02
1219+285   RK12JS    57378.49469  185.38204    28.23292   22.23600  RCP      0.46       0.03
0530+1331  RE03ED    56210.30494   82.73507    13.53199   22.22800  LCP      2.61       0.01
0530+1331  RE03ED    56210.30494   82.73507    13.53199   22.22800  RCP      2.65       0.01
0415+379   RE03IT    56292.97205   64.58865    38.02661   22.23600  LCP      2.03       0.02
0415+379   RE03IT    56292.97205   64.58865    38.02661   22.23600  RCP      2.01       0.05
2200+420   RG41B     58357.04091  330.68038    42.27777   22.22800  LCP      1.66       0.03
2200+420   RG41B     58357.04091  330.68038    42.27777   22.22800  RCP      1.85       0.04
0716+714   RK16CV    57703.62176  110.47270    71.34343   22.23600  LCP      2.15       0.01
0716+714   RK16CV    57703.62176  110.47270    71.34343   22.23600  RCP      2.16       0.01
